060916_01_b_dynamic_06.c3d,060916_01,6,L,Pelvic Rotation,7.45218,-5.23918,1.50137828947
060916_01_b_dynamic_06.c3d,060916_01,6,L,Hip Flex Ext,25.62672,-14.4204,8.26301921053
060916_01_b_dynamic_06.c3d,060916_01,6,L,Hip Ab Adduct,-0.82289,-8.69534,-4.79777802632
060916_01_b_dynamic_06.c3d,060916_01,6,L,Hip Rotation,5.43864,-6.61676,-2.54373717105
060916_01_b_dynamic_06.c3d,060916_01,6,L,Knee Flex Ext,59.79556,-5.51143,14.2421740132
060916_01_b_dynamic_06.c3d,060916_01,6,L,Knee Valg Var,7.06212,1.7007,5.27379065789
060916_01_b_dynamic_06.c3d,060916_01,6,L,Knee Rotation,17.11229,-6.12379,3.81918289474
060916_01_b_dynamic_06.c3d,060916_01,6,L,Dorsi Plan Flex,5.89969,-24.80228,-3.44459684211
060916_01_b_dynamic_06.c3d,060916_01,6,L,Foot Rotation,1.87973,-17.8164,-4.49209743421
060916_01_b_dynamic_06.c3d,060916_01,6,L,Foot Progression,2.22581,-13.81372,-1.69253164474
060916_01_b_dynamic_06.c3d,060916_01,6,R,Pelvic Tilt,7.7734,4.53293,5.90119438356
060916_01_b_dynamic_06.c3d,060916_01,6,R,Pelvic Obliquity,8.88492,0.60139,4.78289787671
060916_01_b_dynamic_06.c3d,060916_01,6,R,Pelvic Rotation,4.87927,-7.45218,-2.46427164384
060916_01_b_dynamic_06.c3d,060916_01,6,R,Hip Flex Ext,32.0383,-11.21089,11.7644526712
060916_01_b_dynamic_06.c3d,060916_01,6,R,Hip Ab Adduct,14.81514,6.18516,9.86577808219
060916_01_b_dynamic_06.c3d,060916_01,6,R,Hip Rotation,-0.82984,-20.66393,-8.35995328767
060916_01_b_dynamic_06.c3d,060916_01,6,R,Knee Flex Ext,55.40194,-0.80147,18.2179912329
060916_01_b_dynamic_06.c3d,060916_01,6,R,Knee Valg Var,-2.97941,-6.49634,-4.58841917808
060916_01_b_dynamic_06.c3d,060916_01,6,R,Knee Rotation,19.75978,1.01117,9.30302623288
060916_01_b_dynamic_06.c3d,060916_01,6,R,Dorsi Plan Flex,6.33288,-24.87069,-2.51425369863
060916_01_b_dynamic_06.c3d,060916_01,6,R,Foot Rotation,-1.38334,-23.95174,-7.13966417808
060916_01_b_dynamic_06.c3d,060916_01,6,R,Foot Progression,-1.03129,-10.49421,-4.52967979452
060916_01_b_dynamic_08.c3d,060916_01,8,L,Pelvic Tilt,8.39458,4.61385,5.88985551724
060916_01_b_dynamic_08.c3d,060916_01,8,L,Pelvic Obliquity,-2.08213,-8.12659,-5.06971124138
060916_01_b_dynamic_08.c3d,060916_01,8,L,Pelvic Rotation,7.01877,-6.59103,0.68609862069
060916_01_b_dynamic_08.c3d,060916_01,8,L,Hip Flex Ext,29.27845,-14.07933,9.6500402069
060916_01_b_dynamic_08.c3d,060916_01,8,L,Hip Ab Adduct,-4.53385,-10.42467,-6.99955475862
060916_01_b_dynamic_08.c3d,060916_01,8,L,Hip Rotation,3.10579,-9.65395,-4.39114924138
060916_01_b_dynamic_08.c3d,060916_01,8,L,Knee Flex Ext,64.38733,-5.82155,14.6683604138
060916_01_b_dynamic_08.c3d,060916_01,8,L,Knee Valg Var,8.00355,1.22366,5.20503268966
060916_01_b_dynamic_08.c3d,060916_01,8,L,Knee Rotation,18.6636,-9.2647,1.99397131034
060916_01_b_dynamic_08.c3d,060916_01,8,L,Dorsi Plan Flex,8.77344,-18.97405,-3.48752427586
060916_01_b_dynamic_08.c3d,060916_01,8,L,Foot Rotation,2.85712,-20.6074,-5.51403034483
060916_01_b_dynamic_08.c3d,060916_01,8,L,Foot Progression,-4.68434,-11.70084,-7.48926875862
